value,unit,year,latitude,longitude,gas
706.7,ppb,1554.0,-75.0025,0.0684,ch4
701.0,ppb,1469.0,-75.0025,0.0684,ch4
703.7,ppb,1285.0,-75.0025,0.0684,ch4
695.0,ppb,1201.0,-75.0025,0.0684,ch4
719.0,ppb,1125.0,-75.0025,0.0684,ch4
682.0,ppb,1039.0,-75.0025,0.0684,ch4
664.0,ppb,951.0,-75.0025,0.0684,ch4
677.3,ppb,905.0,-75.0025,0.0684,ch4
647.2,ppb,854.0,-75.0025,0.0684,ch4
637.7,ppb,746.0,-75.0025,0.0684,ch4
629.8,ppb,648.0,-75.0025,0.0684,ch4
645.3,ppb,577.0,-75.0025,0.0684,ch4
647.0,ppb,577.0,-75.0025,0.0684,ch4
632.3,ppb,491.0,-75.0025,0.0684,ch4
641.0,ppb,361.0,-75.0025,0.0684,ch4
622.4,ppb,267.0,-75.0025,0.0684,ch4
638.8,ppb,266.0,-75.0025,0.0684,ch4
629.0,ppb,156.0,-75.0025,0.0684,ch4
624.8,ppb,116.0,-75.0025,0.0684,ch4
618.7,ppb,-11.999999999999773,-75.0025,0.0684,ch4
612.7,ppb,-81.0,-75.0025,0.0684,ch4
604.3,ppb,-183.0,-75.0025,0.0684,ch4
614.3,ppb,-183.0,-75.0025,0.0684,ch4
615.2,ppb,-276.0,-75.0025,0.0684,ch4
620.3,ppb,-387.0,-75.0025,0.0684,ch4
604.3,ppb,-483.0,-75.0025,0.0684,ch4
593.9,ppb,-674.0,-75.0025,0.0684,ch4
597.0,ppb,-808.0,-75.0025,0.0684,ch4
584.6,ppb,-849.0,-75.0025,0.0684,ch4
591.5,ppb,-850.0,-75.0025,0.0684,ch4
586.7,ppb,-978.0,-75.0025,0.0684,ch4
588.3,ppb,-1057.0,-75.0025,0.0684,ch4
588.3,ppb,-1093.0,-75.0025,0.0684,ch4
618.3,ppb,-1183.0,-75.0025,0.0684,ch4
586.6,ppb,-1464.0,-75.0025,0.0684,ch4
588.0,ppb,-1588.0,-75.0025,0.0684,ch4
582.0,ppb,-1665.0,-75.0025,0.0684,ch4
580.0,ppb,-1764.0,-75.0025,0.0684,ch4
577.3,ppb,-1857.0,-75.0025,0.0684,ch4
638.8,ppb,-1858.0,-75.0025,0.0684,ch4
594.0,ppb,-1981.0,-75.0025,0.0684,ch4
589.4,ppb,-2056.9999999999995,-75.0025,0.0684,ch4
585.3,ppb,-2201.0,-75.0025,0.0684,ch4
562.6,ppb,-2264.0,-75.0025,0.0684,ch4
584.7,ppb,-2392.0,-75.0025,0.0684,ch4
576.6,ppb,-2488.0,-75.0025,0.0684,ch4
600.3,ppb,-2605.0,-75.0025,0.0684,ch4
571.6,ppb,-2682.0,-75.0025,0.0684,ch4
584.7,ppb,-2839.0,-75.0025,0.0684,ch4
546.2,ppb,-2902.0,-75.0025,0.0684,ch4
574.3,ppb,-3027.0,-75.0025,0.0684,ch4
570.3,ppb,-3027.0,-75.0025,0.0684,ch4
576.6,ppb,-3113.0,-75.0025,0.0684,ch4
561.0,ppb,-3261.0,-75.0025,0.0684,ch4
556.4,ppb,-3329.0,-75.0025,0.0684,ch4
563.3,ppb,-3560.0,-75.0025,0.0684,ch4
561.5,ppb,-3684.0,-75.0025,0.0684,ch4
568.8,ppb,-3775.0,-75.0025,0.0684,ch4
597.3,ppb,-3965.0,-75.0025,0.0684,ch4
577.6,ppb,-4056.0,-75.0025,0.0684,ch4
574.7,ppb,-4163.0,-75.0025,0.0684,ch4
557.1,ppb,-4269.0,-75.0025,0.0684,ch4
592.0,ppb,-4419.0,-75.0025,0.0684,ch4
590.6,ppb,-4517.0,-75.0025,0.0684,ch4
584.7,ppb,-4682.0,-75.0025,0.0684,ch4
587.3,ppb,-4683.0,-75.0025,0.0684,ch4
566.8,ppb,-4754.0,-75.0025,0.0684,ch4
611.7,ppb,-4895.0,-75.0025,0.0684,ch4
588.3,ppb,-5002.0,-75.0025,0.0684,ch4
624.3,ppb,-5126.0,-75.0025,0.0684,ch4
635.0,ppb,-5221.0,-75.0025,0.0684,ch4
616.0,ppb,-5346.0,-75.0025,0.0684,ch4
610.5,ppb,-5441.0,-75.0025,0.0684,ch4
640.7,ppb,-5610.0,-75.0025,0.0684,ch4
624.7,ppb,-5611.0,-75.0025,0.0684,ch4
605.8,ppb,-5724.0,-75.0025,0.0684,ch4
607.0,ppb,-5832.0,-75.0025,0.0684,ch4
669.9,ppb,-5943.0,-75.0025,0.0684,ch4
610.3,ppb,-6111.000000000001,-75.0025,0.0684,ch4
622.6,ppb,-6213.0,-75.0025,0.0684,ch4
596.7,ppb,-6377.0,-75.0025,0.0684,ch4
628.9,ppb,-6485.0,-75.0025,0.0684,ch4
637.0,ppb,-6680.0,-75.0025,0.0684,ch4
639.0,ppb,-6681.0,-75.0025,0.0684,ch4
630.9,ppb,-6761.0,-75.0025,0.0684,ch4
650.3,ppb,-6937.0,-75.0025,0.0684,ch4
656.4,ppb,-7044.0,-75.0025,0.0684,ch4
655.0,ppb,-7209.0,-75.0025,0.0684,ch4
656.0,ppb,-7345.0,-75.0025,0.0684,ch4
655.0,ppb,-7485.0,-75.0025,0.0684,ch4
651.7,ppb,-7486.0,-75.0025,0.0684,ch4
659.9,ppb,-7594.0,-75.0025,0.0684,ch4
681.3,ppb,-7761.0,-75.0025,0.0684,ch4
677.5,ppb,-7867.0,-75.0025,0.0684,ch4
693.0,ppb,-8029.0,-75.0025,0.0684,ch4
702.7,ppb,-8029.0,-75.0025,0.0684,ch4
682.7,ppb,-8136.0,-75.0025,0.0684,ch4
693.0,ppb,-8303.0,-75.0025,0.0684,ch4
667.6,ppb,-8428.0,-75.0025,0.0684,ch4
694.3,ppb,-8578.0,-75.0025,0.0684,ch4
709.8,ppb,-8670.0,-75.0025,0.0684,ch4
691.3,ppb,-8682.0,-75.0025,0.0684,ch4
670.2,ppb,-8757.0,-75.0025,0.0684,ch4
697.0,ppb,-8834.0,-75.0025,0.0684,ch4
713.3,ppb,-8835.0,-75.0025,0.0684,ch4
691.1,ppb,-8837.0,-75.0025,0.0684,ch4
706.2,ppb,-8920.0,-75.0025,0.0684,ch4
670.7,ppb,-8930.0,-75.0025,0.0684,ch4
672.3,ppb,-9003.0,-75.0025,0.0684,ch4
681.0,ppb,-9060.0,-75.0025,0.0684,ch4
670.2,ppb,-9060.0,-75.0025,0.0684,ch4
716.8,ppb,-9181.0,-75.0025,0.0684,ch4
672.7,ppb,-9192.0,-75.0025,0.0684,ch4
688.2,ppb,-9244.0,-75.0025,0.0684,ch4
698.0,ppb,-9341.0,-75.0025,0.0684,ch4
710.7,ppb,-9344.0,-75.0025,0.0684,ch4
674.6,ppb,-9413.0,-75.0025,0.0684,ch4
661.2,ppb,-9422.0,-75.0025,0.0684,ch4
680.7,ppb,-9513.0,-75.0025,0.0684,ch4
714.7,ppb,-9562.0,-75.0025,0.0684,ch4
728.4,ppb,-9565.0,-75.0025,0.0684,ch4
590.3,ppb,-9652.0,-75.0025,0.0684,ch4
622.5,ppb,-9663.0,-75.0025,0.0684,ch4
502.3,ppb,-9713.0,-75.0025,0.0684,ch4
474.7,ppb,-9803.0,-75.0025,0.0684,ch4
483.9,ppb,-9806.0,-75.0025,0.0684,ch4
470.4,ppb,-9891.0,-75.0025,0.0684,ch4
473.1,ppb,-9900.0,-75.0025,0.0684,ch4
482.1,ppb,-9930.0,-75.0025,0.0684,ch4
477.7,ppb,-10027.0,-75.0025,0.0684,ch4
533.1,ppb,-10029.0,-75.0025,0.0684,ch4
488.5,ppb,-10083.0,-75.0025,0.0684,ch4
470.2,ppb,-10092.0,-75.0025,0.0684,ch4
468.4,ppb,-10159.0,-75.0025,0.0684,ch4
464.3,ppb,-10246.0,-75.0025,0.0684,ch4
476.2,ppb,-10248.0,-75.0025,0.0684,ch4
466.9,ppb,-10321.0,-75.0025,0.0684,ch4
499.5,ppb,-10331.0,-75.0025,0.0684,ch4
487.5,ppb,-10438.0,-75.0025,0.0684,ch4
474.0,ppb,-10511.0,-75.0025,0.0684,ch4
468.7,ppb,-10512.0,-75.0025,0.0684,ch4
482.7,ppb,-10513.0,-75.0025,0.0684,ch4
458.2,ppb,-10515.0,-75.0025,0.0684,ch4
474.3,ppb,-10620.0,-75.0025,0.0684,ch4
484.2,ppb,-10625.0,-75.0025,0.0684,ch4
581.8,ppb,-10782.0,-75.0025,0.0684,ch4
672.7,ppb,-10950.0,-75.0025,0.0684,ch4
674.2,ppb,-10966.0,-75.0025,0.0684,ch4
