year,unit,gas,latitude,longitude,draw,value
154.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,638.0726534582152
155.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,637.9270980027832
156.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,637.8442779082656
157.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,637.6476499987391
158.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,637.5731029760534
159.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,637.5048242310137
160.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,637.42522159489
161.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,637.3169452569605
162.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,637.1206046334446
163.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,637.0315411497843
164.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,636.8087932963638
165.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,636.6819222545064
166.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,636.5905162092229
167.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,636.4511162613142
168.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,636.3967679751122
169.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,636.3396783926644
170.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,636.1737304009858
171.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,636.0685982905396
172.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,635.9809968612154
173.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,635.9581908845942
174.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,635.9710157600357
175.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,635.9025446819555
176.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,635.8494286275578
177.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,635.8738939832774
178.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,635.907610914679
179.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,635.9275136971762
180.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,635.972801216555
181.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,636.0268373289302
182.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,636.0905567774191
183.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,636.1530704737163
184.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,636.2399938070274
185.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,636.3117384280101
186.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,636.4012087594903
187.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,636.4650126938819
188.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,636.511521926041
189.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,636.6308013796627
190.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,636.7460916256155
191.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,636.8643615584983
192.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,636.9352655257286
193.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,637.0457603898758
194.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,637.1611511790402
195.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,637.4022277493814
196.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,637.5398517335309
197.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,637.702897987587
198.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,637.8405142715501
199.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,638.0606232994883
200.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,638.2502043801319
201.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,638.4652608485276
202.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,638.6209542098939
203.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,638.733848878241
204.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,638.9528679198702
205.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,639.1487956791224
206.0,ppb,ch4,-66.73333333333333,112.83333333333331,median,639.3247315862955
