year,value,unit,latitude,longitude,gas
1947.8,1237.2,ppb,77.45,-51.06,ch4
1942.9,1175.45,ppb,77.45,-51.06,ch4
1938.6,1150.3,ppb,77.45,-51.06,ch4
1933.0,1125.6,ppb,77.45,-51.06,ch4
1927.9,1112.6,ppb,77.45,-51.06,ch4
1922.8,1082.0,ppb,77.45,-51.06,ch4
1918.2,1062.0,ppb,77.45,-51.06,ch4
1912.9,1042.8,ppb,77.45,-51.06,ch4
1907.7,1009.4,ppb,77.45,-51.06,ch4
1902.8,982.3,ppb,77.45,-51.06,ch4
1897.8,967.05,ppb,77.45,-51.06,ch4
1892.8,945.1,ppb,77.45,-51.06,ch4
1883.9,910.0,ppb,77.45,-51.06,ch4
1879.4,897.5,ppb,77.45,-51.06,ch4
1873.9,890.0,ppb,77.45,-51.06,ch4
1839.3,835.1,ppb,77.45,-51.06,ch4
1832.7,829.2,ppb,77.45,-51.06,ch4
1827.6,824.8,ppb,77.45,-51.06,ch4
1822.9,819.4,ppb,77.45,-51.06,ch4
1817.7,810.1,ppb,77.45,-51.06,ch4
1812.8,801.4,ppb,77.45,-51.06,ch4
1807.7,794.5,ppb,77.45,-51.06,ch4
1802.7,789.1,ppb,77.45,-51.06,ch4
1797.9,786.5,ppb,77.45,-51.06,ch4
1792.9,782.5,ppb,77.45,-51.06,ch4
1787.7,782.55,ppb,77.45,-51.06,ch4
1782.6,783.3,ppb,77.45,-51.06,ch4
1777.5,776.6,ppb,77.45,-51.06,ch4
1772.9,776.0,ppb,77.45,-51.06,ch4
1766.8,769.75,ppb,77.45,-51.06,ch4
1761.9,767.1,ppb,77.45,-51.06,ch4
1757.2,760.1,ppb,77.45,-51.06,ch4
1752.0,761.9,ppb,77.45,-51.06,ch4
1747.1,753.5,ppb,77.45,-51.06,ch4
1739.8,756.25,ppb,77.45,-51.06,ch4
1735.3,747.3,ppb,77.45,-51.06,ch4
1730.3,744.4,ppb,77.45,-51.06,ch4
1725.3,741.9,ppb,77.45,-51.06,ch4
1720.1,739.6,ppb,77.45,-51.06,ch4
1714.9,737.5,ppb,77.45,-51.06,ch4
1710.1,733.6,ppb,77.45,-51.06,ch4
1705.1,730.1,ppb,77.45,-51.06,ch4
1667.4,742.0,ppb,77.45,-51.06,ch4
1661.4,741.2,ppb,77.45,-51.06,ch4
1658.2,740.2,ppb,77.45,-51.06,ch4
1653.3,736.4,ppb,77.45,-51.06,ch4
1648.2,731.7,ppb,77.45,-51.06,ch4
1642.8,739.3,ppb,77.45,-51.06,ch4
1638.6,735.0,ppb,77.45,-51.06,ch4
1633.4,735.7,ppb,77.45,-51.06,ch4
1628.1,736.6,ppb,77.45,-51.06,ch4
1623.2,739.2,ppb,77.45,-51.06,ch4
1601.5,736.05,ppb,77.45,-51.06,ch4
1597.4,729.2,ppb,77.45,-51.06,ch4
1592.2,729.1,ppb,77.45,-51.06,ch4
1587.1,730.3,ppb,77.45,-51.06,ch4
1581.9,729.6,ppb,77.45,-51.06,ch4
1577.0,729.8,ppb,77.45,-51.06,ch4
1572.2,733.7,ppb,77.45,-51.06,ch4
1566.9,737.9,ppb,77.45,-51.06,ch4
1562.2,744.8,ppb,77.45,-51.06,ch4
1557.2,759.9,ppb,77.45,-51.06,ch4
1552.1,762.2,ppb,77.45,-51.06,ch4
1547.1,768.25,ppb,77.45,-51.06,ch4
1543.1,767.9,ppb,77.45,-51.06,ch4
1537.1,772.2,ppb,77.45,-51.06,ch4
1532.0,769.6,ppb,77.45,-51.06,ch4
1527.0,763.9,ppb,77.45,-51.06,ch4
1521.9,762.8,ppb,77.45,-51.06,ch4
1516.9,760.8,ppb,77.45,-51.06,ch4
1512.2,759.6,ppb,77.45,-51.06,ch4
1505.0,753.4,ppb,77.45,-51.06,ch4
1500.6,748.35,ppb,77.45,-51.06,ch4
1494.4,752.5,ppb,77.45,-51.06,ch4
1490.2,739.45,ppb,77.45,-51.06,ch4
1485.3,739.6,ppb,77.45,-51.06,ch4
1479.6,735.5,ppb,77.45,-51.06,ch4
1475.3,729.0,ppb,77.45,-51.06,ch4
1466.5,727.15,ppb,77.45,-51.06,ch4
1463.7,727.2,ppb,77.45,-51.06,ch4
1458.9,727.7,ppb,77.45,-51.06,ch4
1454.1,726.7,ppb,77.45,-51.06,ch4
1448.9,725.6,ppb,77.45,-51.06,ch4
1443.9,727.7,ppb,77.45,-51.06,ch4
1437.6,725.2,ppb,77.45,-51.06,ch4
1434.0,720.8,ppb,77.45,-51.06,ch4
1428.3,728.9,ppb,77.45,-51.06,ch4
1423.2,725.1,ppb,77.45,-51.06,ch4
1418.2,723.3,ppb,77.45,-51.06,ch4
1413.2,719.4,ppb,77.45,-51.06,ch4
1407.2,721.3,ppb,77.45,-51.06,ch4
1401.0,726.1,ppb,77.45,-51.06,ch4
1394.8,730.2,ppb,77.45,-51.06,ch4
1390.3,730.4,ppb,77.45,-51.06,ch4
1385.3,732.2,ppb,77.45,-51.06,ch4
1380.2,734.7,ppb,77.45,-51.06,ch4
1375.1,733.5,ppb,77.45,-51.06,ch4
1370.3,733.5,ppb,77.45,-51.06,ch4
1361.9,730.15,ppb,77.45,-51.06,ch4
1357.0,724.0,ppb,77.45,-51.06,ch4
1351.4,728.9,ppb,77.45,-51.06,ch4
1347.0,729.2,ppb,77.45,-51.06,ch4
1342.0,724.1,ppb,77.45,-51.06,ch4
1336.6,726.9,ppb,77.45,-51.06,ch4
1332.5,728.9,ppb,77.45,-51.06,ch4
1327.0,730.3,ppb,77.45,-51.06,ch4
1322.0,736.0,ppb,77.45,-51.06,ch4
1315.4,741.8,ppb,77.45,-51.06,ch4
1311.2,741.3,ppb,77.45,-51.06,ch4
1304.2,736.6,ppb,77.45,-51.06,ch4
